,0
1700,113.0
1701,23.0
1702,4.0
1704,20.0
1705,210.0
1709,40.0
1710,44.0
1711,398.0
1712,2.0
1713,46.0
1715,306.0
1716,802.0
1717,311.0
1719,195.0
1723,4.0
1724,7.0
1725,1067.0
1727,17.0
1728,13.0
1729,117.0
1733,203.0
1734,738.0
1736,23.0
1737,1.0
1738,9.0
1739,171.0
1740,130.0
1743,2.0
1744,64.0
1745,9.0
1746,3.0
1748,205.0
1749,71.0
1750,12.0
1751,234.0
1752,73.0
1753,2.0
1754,533.0
1755,42.0
1756,178.0
1760,3.0
1761,18.0
1762,19.0
1765,971.0
1766,115.0
1767,73.0
1768,844.0
1770,648.0
1771,52.0
1772,24.0
1773,2.0
1775,1.0
1776,788.0
1778,16.0
1779,1.0
1782,113.0
1783,9.0
1785,91.0
1787,60.0
1789,26.0
1791,3264.0
1792,4.0
1793,13.0
1794,1168.0
1795,101.0
1796,1513.0
1797,1.0
1798,29.0
1799,639.0
1801,6.0
1802,5.0
1803,7.0
1804,9.0
1805,834.0
1806,95.0
1808,126.0
1809,2354.0
1810,67.0
1811,103.0
1816,30.0
1817,159.0
1818,181.0
1819,2.0
1820,9.0
1821,3.0
1822,40.0
1825,10.0
1826,42.0
1828,15.0
1830,2.0
1836,101.0
1837,80.0
1839,129.0
1840,24.0
1843,14.0
1845,67.0
1847,161.0
1848,531.0
1850,29.0
1853,1.0
1854,9.0
1855,10.0
1856,4.0
1857,241.0
1858,24.0
1860,69.0
1861,91.0
1862,1253.0
1863,32.0
1865,4.0
1867,180.0
1870,63.0
1872,15.0
1875,38.0
1876,729.0
1877,12.0
1878,36.0
1879,41.0
1880,102.0
1882,701.0
1883,9.0
1884,192.0
1885,1.0
1888,5.0
1889,6.0
1890,2015.0
1891,68.0
1892,266.0
1893,2.0
1894,1.0
1896,3.0
1897,99.0
1904,4.0
1906,5.0
1908,22.0
1909,102.0
1911,47.0
1913,47.0
1916,2540.0
1918,52.0
1921,4.0
1923,5.0
1924,3.0
1925,478.0
1927,6.0
1928,221.0
1929,6.0
1930,37.0
1931,444.0
1932,877.0
1933,230.0
1935,14.0
1936,15.0
1937,474.0
1940,18.0
1941,15.0
1944,109.0
1945,1078.0
1951,13.0
1953,254.0
1954,2.0
1956,18.0
1970,9.0
1971,21.0
1975,81.0
1978,813.0
1979,12.0
1982,32.0
1983,176.0
1984,366.0
1985,1.0
1987,39.0
1988,314.0
1989,28.0
1991,11.0
1993,45.0
1994,378.0
1995,20.0
1996,190.0
1998,5.0
1999,18.0
2001,5.0
2004,41.0
2005,502.0
2006,498.0
2008,30.0
2010,444.0
2011,187.0
2012,84.0
2013,553.0
2014,13.0
2016,10.0
2017,8.0
2018,18.0
2019,29.0
2020,4.0
2022,89.0
2025,16.0
2028,22.0
2030,98.0
2032,8.0
2033,21.0
2037,21.0
2038,52.0
2039,844.0
2040,8.0
2041,1310.0
2042,51.0
2043,277.0
2044,157.0
2046,21.0
2048,27.0
2050,22.0
2053,41.0
2054,21.0
2056,8.0
2057,13.0
2059,2.0
2061,5.0
2064,28.0
2069,340.0
2070,37.0
2071,2.0
2073,5.0
2077,10.0
2078,3.0
2079,5.0
2083,49.0
2084,24.0
2085,47.0
2087,1270.0
2093,75.0
2094,686.0
2096,3.0
2097,599.0
2098,4.0
2101,5.0
2103,15.0
2104,11.0
2107,3.0
2108,138.0
2110,2.0
2114,65.0
2115,230.0
2116,252.0
2117,469.0
2119,22.0
2120,32.0
2126,93.0
2128,35.0
2129,1376.0
2130,21.0
2131,1.0
2132,885.0
2135,46.0
2138,2.0
2140,7.0
2141,91.0
2142,21.0
2146,55.0
2147,20.0
2149,64.0
2151,4.0
2152,3.0
2153,19.0
2154,22.0
2155,6.0
2156,31.0
2157,44.0
2162,324.0
2164,102.0
2165,1.0
2166,296.0
2169,272.0
2170,12.0
2171,10.0
2173,25.0
2174,162.0
2175,39.0
2177,34.0
2178,6.0
2180,4.0
2181,82.0
2182,1728.0
2183,199.0
2186,61.0
2189,3.0
2191,62.0
2192,13.0
2193,148.0
2196,7.0
2197,7.0
2198,1.0
2199,52.0
2201,66.0
2202,13.0
2203,464.0
2205,7.0
2206,101.0
2207,779.0
2208,8731.0
2209,45.0
2216,1.0
2217,11.0
2218,7.0
2219,409.0
2221,19.0
2222,9.0
2224,1.0
2225,19.0
2226,1.0
2230,1.0
2233,22.0
2234,1.0
2235,8.0
2236,14.0
2238,25.0
2239,7.0
2241,143.0
2245,31.0
2246,23.0
2247,717.0
2250,7.0
2252,9.0
2253,136.0
2254,901.0
2255,600.0
2256,46.0
2262,79.0
2263,24.0
2266,23.0
2267,22.0
2268,78.0
2272,21.0
2276,89.0
2278,70.0
2279,20.0
2280,12.0
2282,2.0
2283,72.0
2284,16.0
2286,655.0
2288,135.0
2289,13.0
2291,37.0
2294,381.0
2295,61.0
2296,356.0
2297,158.0
2300,144.0
2303,17.0
2304,420.0
2305,1.0
2308,186.0
2309,823.0
2311,146.0
2314,92.0
2319,116.0
2322,24.0
2323,63.0
2324,165.0
2326,9.0
2329,18.0
2331,4.0
2332,52.0
2334,92.0
2336,529.0
2340,71.0
2343,39.0
2344,180.0
2347,1.0
2348,64.0
